Subdivision,Year,Annual_Rainfall_mm
Arunachal Pradesh,1952,2396.100
Arunachal Pradesh,1953,2675.715
Arunachal Pradesh,1957,3843.938
Arunachal Pradesh,1958,5063.500
Arunachal Pradesh,1959,4195.500
Arunachal Pradesh,1960,3709.400
Arunachal Pradesh,1961,3676.500
Arunachal Pradesh,1962,4810.826
Arunachal Pradesh,1963,4138.000
Arunachal Pradesh,1964,4959.300
Arunachal Pradesh,1965,2196.800
Arunachal Pradesh,1966,2209.700
Arunachal Pradesh,1967,1668.500
Arunachal Pradesh,1968,2138.900
Arunachal Pradesh,1969,1877.800
Arunachal Pradesh,1970,1973.400
Arunachal Pradesh,1971,2184.600
Arunachal Pradesh,1972,2281.300
Arunachal Pradesh,1973,2457.600
Arunachal Pradesh,1974,3064.000
Arunachal Pradesh,1975,2213.400
Arunachal Pradesh,1976,2419.600
Arunachal Pradesh,1977,3774.400
Arunachal Pradesh,1978,2531.000
Arunachal Pradesh,1979,2773.700
Arunachal Pradesh,1980,3215.400
Arunachal Pradesh,1981,2790.800
Arunachal Pradesh,1982,2779.400
Arunachal Pradesh,1983,3335.100
Arunachal Pradesh,1984,3278.100
Arunachal Pradesh,1985,3266.400
Arunachal Pradesh,1986,2495.600
Arunachal Pradesh,1987,3433.300
Arunachal Pradesh,1988,4155.400
Arunachal Pradesh,1989,3281.700
Arunachal Pradesh,1990,3604.100
Arunachal Pradesh,1991,3434.500
Arunachal Pradesh,1992,2706.800
Arunachal Pradesh,1993,3348.900
Arunachal Pradesh,1994,2287.300
Arunachal Pradesh,1995,3068.800
Arunachal Pradesh,1996,2520.600
Arunachal Pradesh,1997,2274.900
Arunachal Pradesh,1998,3616.700
Arunachal Pradesh,1999,2316.700
Arunachal Pradesh,2000,2596.900
Arunachal Pradesh,2001,2035.900
Arunachal Pradesh,2002,2389.300
Arunachal Pradesh,2003,2451.700
Arunachal Pradesh,2004,2545.800
Arunachal Pradesh,2005,2335.500
Arunachal Pradesh,2006,2259.400
Arunachal Pradesh,2007,3020.600
Arunachal Pradesh,2008,2244.500
Arunachal Pradesh,2009,1750.000
Arunachal Pradesh,2010,2855.600
Arunachal Pradesh,2011,2193.600
Arunachal Pradesh,2012,3440.500
Arunachal Pradesh,2013,2042.900
Arunachal Pradesh,2014,2403.100
Arunachal Pradesh,2015,2767.500
Arunachal Pradesh,2016,2706.800
Arunachal Pradesh,2017,2745.500
Assam & Meghalaya,1901,2498.700
Assam & Meghalaya,1902,2952.100
Assam & Meghalaya,1903,2544.600
Assam & Meghalaya,1904,2664.200
Assam & Meghalaya,1905,2790.700
Assam & Meghalaya,1906,2663.200
Assam & Meghalaya,1907,2521.300
Assam & Meghalaya,1908,2277.800
Assam & Meghalaya,1909,2377.000
Assam & Meghalaya,1910,2887.300
Assam & Meghalaya,1911,3096.100
Assam & Meghalaya,1912,2743.400
Assam & Meghalaya,1913,2760.500
Assam & Meghalaya,1914,2343.900
Assam & Meghalaya,1915,3165.200
Assam & Meghalaya,1916,2601.000
Assam & Meghalaya,1917,2520.000
Assam & Meghalaya,1918,3106.800
Assam & Meghalaya,1919,2344.100
Assam & Meghalaya,1920,2623.700
Assam & Meghalaya,1921,2999.500
Assam & Meghalaya,1922,2262.000
Assam & Meghalaya,1923,2440.400
Assam & Meghalaya,1924,2691.600
Assam & Meghalaya,1925,2550.500
Assam & Meghalaya,1926,2511.600
Assam & Meghalaya,1927,2792.900
Assam & Meghalaya,1928,2634.100
Assam & Meghalaya,1929,2953.800
Assam & Meghalaya,1930,2550.800
Assam & Meghalaya,1931,2800.100
Assam & Meghalaya,1932,2888.600
Assam & Meghalaya,1933,2339.100
Assam & Meghalaya,1934,3074.800
Assam & Meghalaya,1935,2678.500
Assam & Meghalaya,1936,2671.300
Assam & Meghalaya,1937,2324.600
Assam & Meghalaya,1938,2786.500
Assam & Meghalaya,1939,2401.500
Assam & Meghalaya,1940,2451.700
Assam & Meghalaya,1941,2709.400
Assam & Meghalaya,1942,2677.100
Assam & Meghalaya,1943,2703.800
Assam & Meghalaya,1944,2524.400
Assam & Meghalaya,1945,2665.700
Assam & Meghalaya,1946,2679.500
Assam & Meghalaya,1947,2643.200
Assam & Meghalaya,1948,3185.500
Assam & Meghalaya,1949,2983.300
Assam & Meghalaya,1950,2392.400
Assam & Meghalaya,1951,2613.900
Assam & Meghalaya,1952,2851.300
Assam & Meghalaya,1953,2560.000
Assam & Meghalaya,1954,2859.200
Assam & Meghalaya,1955,2761.200
Assam & Meghalaya,1956,2802.900
Assam & Meghalaya,1957,2257.000
Assam & Meghalaya,1958,2626.500
Assam & Meghalaya,1959,2535.700
Assam & Meghalaya,1960,2342.200
Assam & Meghalaya,1961,2195.400
Assam & Meghalaya,1962,2296.000
Assam & Meghalaya,1963,2511.700
Assam & Meghalaya,1964,2729.700
Assam & Meghalaya,1965,2398.900
Assam & Meghalaya,1966,2789.300
Assam & Meghalaya,1967,2123.300
Assam & Meghalaya,1968,2530.800
Assam & Meghalaya,1969,2332.300
Assam & Meghalaya,1970,3048.500
Assam & Meghalaya,1971,2315.100
Assam & Meghalaya,1972,2379.100
Assam & Meghalaya,1973,2672.100
Assam & Meghalaya,1974,3403.600
Assam & Meghalaya,1975,2270.600
Assam & Meghalaya,1976,1956.000
Assam & Meghalaya,1977,2616.700
Assam & Meghalaya,1978,2011.800
Assam & Meghalaya,1979,2188.400
Assam & Meghalaya,1980,2289.200
Assam & Meghalaya,1981,2079.300
Assam & Meghalaya,1982,2382.300
Assam & Meghalaya,1983,2620.200
Assam & Meghalaya,1984,3156.900
Assam & Meghalaya,1985,2801.700
Assam & Meghalaya,1986,2592.700
Assam & Meghalaya,1987,2921.600
Assam & Meghalaya,1988,3261.700
Assam & Meghalaya,1989,2682.300
Assam & Meghalaya,1990,2771.200
Assam & Meghalaya,1991,2838.000
Assam & Meghalaya,1992,2259.700
Assam & Meghalaya,1993,2879.200
Assam & Meghalaya,1994,2121.300
Assam & Meghalaya,1995,2886.000
Assam & Meghalaya,1996,2466.800
Assam & Meghalaya,1997,2372.200
Assam & Meghalaya,1998,2803.100
Assam & Meghalaya,1999,2594.100
Assam & Meghalaya,2000,2486.800
Assam & Meghalaya,2001,2178.600
Assam & Meghalaya,2002,2392.600
Assam & Meghalaya,2003,2434.200
Assam & Meghalaya,2004,2994.200
Assam & Meghalaya,2005,2468.200
Assam & Meghalaya,2006,1898.700
Assam & Meghalaya,2007,2752.700
Assam & Meghalaya,2008,2339.600
Assam & Meghalaya,2009,2068.200
Assam & Meghalaya,2010,2711.400
Assam & Meghalaya,2011,1743.500
Assam & Meghalaya,2012,2609.400
Assam & Meghalaya,2013,1816.500
Assam & Meghalaya,2014,2206.200
Assam & Meghalaya,2015,2471.000
Assam & Meghalaya,2016,2266.700
Assam & Meghalaya,2017,2711.600
Bihar,1901,952.400
Bihar,1902,1206.200
Bihar,1903,1016.400
Bihar,1904,1269.700
Bihar,1905,1498.600
Bihar,1906,1265.100
Bihar,1907,1126.400
Bihar,1908,737.500
Bihar,1909,1390.600
Bihar,1910,1398.400
Bihar,1911,1449.000
Bihar,1912,1129.400
Bihar,1913,1529.900
Bihar,1914,1059.900
Bihar,1915,1349.500
Bihar,1916,1504.600
Bihar,1917,1334.000
Bihar,1918,1411.600
Bihar,1919,1252.600
Bihar,1920,1123.800
Bihar,1921,1272.400
Bihar,1922,1449.200
Bihar,1923,982.700
Bihar,1924,1456.200
Bihar,1925,1191.500
Bihar,1926,1121.700
Bihar,1927,1100.300
Bihar,1928,1249.600
Bihar,1929,1359.200
Bihar,1930,1114.300
Bihar,1931,1146.400
Bihar,1932,927.000
Bihar,1933,1392.600
Bihar,1934,1226.300
Bihar,1935,1240.300
Bihar,1936,1572.500
Bihar,1937,1306.400
Bihar,1938,1506.700
Bihar,1939,1243.200
Bihar,1940,1088.200
Bihar,1941,1223.000
Bihar,1942,1252.600
Bihar,1943,1169.800
Bihar,1944,1228.900
Bihar,1945,1242.800
Bihar,1946,1393.800
Bihar,1947,1092.200
Bihar,1948,1299.300
Bihar,1949,1444.400
Bihar,1950,1124.600
Bihar,1951,850.200
Bihar,1952,1206.900
Bihar,1953,1378.800
Bihar,1954,1050.600
Bihar,1955,1244.300
Bihar,1956,1493.300
Bihar,1957,966.800
Bihar,1958,1167.500
Bihar,1959,1179.700
Bihar,1960,1247.800
Bihar,1961,1258.000
Bihar,1962,1178.000
Bihar,1963,1326.200
Bihar,1964,1122.300
Bihar,1965,1002.800
Bihar,1966,767.000
Bihar,1967,999.800
Bihar,1968,1140.000
Bihar,1969,1288.500
Bihar,1970,1074.600
Bihar,1971,1432.500
Bihar,1972,717.900
Bihar,1973,1189.100
Bihar,1974,1235.200
Bihar,1975,1069.100
Bihar,1976,1161.700
Bihar,1977,1147.700
Bihar,1978,1290.800
Bihar,1979,1001.800
Bihar,1980,1252.000
Bihar,1981,1364.600
Bihar,1982,933.600
Bihar,1983,1104.300
Bihar,1984,1426.200
Bihar,1985,1455.000
Bihar,1986,1322.100
Bihar,1987,1660.500
Bihar,1988,1337.500
Bihar,1989,1269.900
Bihar,1990,1239.200
Bihar,1991,1045.800
Bihar,1992,797.500
Bihar,1993,1208.400
Bihar,1994,969.300
Bihar,1995,1112.000
Bihar,1996,1107.300
Bihar,1997,1303.700
Bihar,1998,1332.600
Bihar,1999,1402.700
Bihar,2000,1207.000
Bihar,2001,1247.100
Bihar,2002,1105.800
Bihar,2003,1353.800
Bihar,2004,1147.600
Bihar,2005,907.800
Bihar,2006,1052.800
Bihar,2007,1600.100
Bihar,2008,1197.600
Bihar,2009,889.500
Bihar,2010,629.200
Bihar,2011,1097.300
Bihar,2012,1032.400
Bihar,2013,1069.800
Bihar,2014,1061.000
Bihar,2015,872.700
Bihar,2016,1158.000
Bihar,2017,1112.000
Chhattisgarh,1901,1386.900
Chhattisgarh,1902,923.900
Chhattisgarh,1903,1331.100
Chhattisgarh,1904,1492.400
Chhattisgarh,1905,1250.900
Chhattisgarh,1906,1394.600
Chhattisgarh,1907,1308.800
Chhattisgarh,1908,1488.800
Chhattisgarh,1909,1284.100
Chhattisgarh,1910,1407.300
Chhattisgarh,1911,1504.300
Chhattisgarh,1912,1226.900
Chhattisgarh,1913,1234.700
Chhattisgarh,1914,1418.000
Chhattisgarh,1915,1455.900
Chhattisgarh,1916,1443.100
Chhattisgarh,1917,1727.700
Chhattisgarh,1918,1377.300
Chhattisgarh,1919,1859.000
Chhattisgarh,1920,1203.400
Chhattisgarh,1921,1319.200
Chhattisgarh,1922,1308.800
Chhattisgarh,1923,1387.200
Chhattisgarh,1924,1334.300
Chhattisgarh,1925,1737.000
Chhattisgarh,1926,1634.800
Chhattisgarh,1927,1537.200
Chhattisgarh,1928,1219.100
Chhattisgarh,1929,1663.800
Chhattisgarh,1930,1383.600
Chhattisgarh,1931,1466.900
Chhattisgarh,1932,1357.400
Chhattisgarh,1933,1650.800
Chhattisgarh,1934,1529.000
Chhattisgarh,1935,1269.200
Chhattisgarh,1936,1826.200
Chhattisgarh,1937,1616.700
Chhattisgarh,1938,1505.800
Chhattisgarh,1939,1480.400
Chhattisgarh,1940,1448.500
Chhattisgarh,1941,1005.100
Chhattisgarh,1942,1598.100
Chhattisgarh,1943,1645.000
Chhattisgarh,1944,1792.600
Chhattisgarh,1945,1585.500
Chhattisgarh,1946,1599.100
Chhattisgarh,1947,1599.700
Chhattisgarh,1948,1491.700
Chhattisgarh,1949,1499.500
Chhattisgarh,1950,1292.200
Chhattisgarh,1951,1411.600
Chhattisgarh,1952,1396.400
Chhattisgarh,1953,1370.200
Chhattisgarh,1954,1193.800
Chhattisgarh,1955,1440.700
Chhattisgarh,1956,1557.000
Chhattisgarh,1957,1222.400
Chhattisgarh,1958,1520.900
Chhattisgarh,1959,1544.300
Chhattisgarh,1960,1364.400
Chhattisgarh,1961,1973.900
Chhattisgarh,1962,1124.700
Chhattisgarh,1963,1337.100
Chhattisgarh,1964,1508.900
Chhattisgarh,1965,941.500
Chhattisgarh,1966,1087.000
Chhattisgarh,1967,1472.400
Chhattisgarh,1968,1168.000
Chhattisgarh,1969,1172.500
Chhattisgarh,1970,1501.500
Chhattisgarh,1971,1533.800
Chhattisgarh,1972,1199.000
Chhattisgarh,1973,1467.300
Chhattisgarh,1974,951.100
Chhattisgarh,1975,1475.300
Chhattisgarh,1976,1379.400
Chhattisgarh,1977,1465.300
Chhattisgarh,1978,1370.300
Chhattisgarh,1979,904.600
Chhattisgarh,1980,1495.400
Chhattisgarh,1981,1216.400
Chhattisgarh,1982,1197.300
Chhattisgarh,1983,1372.100
Chhattisgarh,1984,1254.700
Chhattisgarh,1985,1237.500
Chhattisgarh,1986,1368.600
Chhattisgarh,1987,1142.800
Chhattisgarh,1988,1206.300
Chhattisgarh,1989,1187.200
Chhattisgarh,1990,1643.900
Chhattisgarh,1991,1220.900
Chhattisgarh,1992,1156.600
Chhattisgarh,1993,1205.400
Chhattisgarh,1994,1754.600
Chhattisgarh,1995,1280.700
Chhattisgarh,1996,1187.100
Chhattisgarh,1997,1317.200
Chhattisgarh,1998,1332.700
Chhattisgarh,1999,1322.700
Chhattisgarh,2000,906.400
Chhattisgarh,2001,1600.100
Chhattisgarh,2002,990.400
Chhattisgarh,2003,1694.200
Chhattisgarh,2004,1144.700
Chhattisgarh,2005,1287.300
Chhattisgarh,2006,1317.800
Chhattisgarh,2007,1281.200
Chhattisgarh,2008,1108.600
Chhattisgarh,2009,956.700
Chhattisgarh,2010,1306.600
Chhattisgarh,2011,1302.600
Chhattisgarh,2012,1377.400
Chhattisgarh,2013,1420.000
Chhattisgarh,2014,1278.600
Chhattisgarh,2015,1117.700
Chhattisgarh,2016,1315.900
Chhattisgarh,2017,1124.500
Coastal Andhra Pradesh,1901,993.700
Coastal Andhra Pradesh,1902,1063.500
Coastal Andhra Pradesh,1903,1316.100
Coastal Andhra Pradesh,1904,860.100
Coastal Andhra Pradesh,1905,795.000
Coastal Andhra Pradesh,1906,1021.400
Coastal Andhra Pradesh,1907,817.900
Coastal Andhra Pradesh,1908,842.200
Coastal Andhra Pradesh,1909,867.500
Coastal Andhra Pradesh,1910,1254.700
Coastal Andhra Pradesh,1911,819.400
Coastal Andhra Pradesh,1912,903.600
Coastal Andhra Pradesh,1913,840.900
Coastal Andhra Pradesh,1914,1013.100
Coastal Andhra Pradesh,1915,1347.300
Coastal Andhra Pradesh,1916,1351.300
Coastal Andhra Pradesh,1917,1289.700
Coastal Andhra Pradesh,1918,778.000
Coastal Andhra Pradesh,1919,1141.400
Coastal Andhra Pradesh,1920,723.400
Coastal Andhra Pradesh,1921,1015.200
Coastal Andhra Pradesh,1922,853.200
Coastal Andhra Pradesh,1923,1126.300
Coastal Andhra Pradesh,1924,1181.900
Coastal Andhra Pradesh,1925,1238.500
Coastal Andhra Pradesh,1926,870.700
Coastal Andhra Pradesh,1927,1052.900
Coastal Andhra Pradesh,1928,1101.400
Coastal Andhra Pradesh,1929,859.100
Coastal Andhra Pradesh,1930,1222.800
Coastal Andhra Pradesh,1931,1287.000
Coastal Andhra Pradesh,1932,971.600
Coastal Andhra Pradesh,1933,1087.300
Coastal Andhra Pradesh,1934,884.100
Coastal Andhra Pradesh,1935,751.200
Coastal Andhra Pradesh,1936,1328.700
Coastal Andhra Pradesh,1937,892.100
Coastal Andhra Pradesh,1938,1206.200
Coastal Andhra Pradesh,1939,1070.300
Coastal Andhra Pradesh,1940,1069.100
Coastal Andhra Pradesh,1941,1026.400
Coastal Andhra Pradesh,1942,879.800
Coastal Andhra Pradesh,1943,977.800
Coastal Andhra Pradesh,1944,1155.800
Coastal Andhra Pradesh,1945,991.600
Coastal Andhra Pradesh,1946,970.300
Coastal Andhra Pradesh,1947,1126.100
Coastal Andhra Pradesh,1948,1024.500
Coastal Andhra Pradesh,1949,1217.400
Coastal Andhra Pradesh,1950,986.000
Coastal Andhra Pradesh,1951,1096.200
Coastal Andhra Pradesh,1952,916.600
Coastal Andhra Pradesh,1953,990.000
Coastal Andhra Pradesh,1954,1153.500
Coastal Andhra Pradesh,1955,1379.000
Coastal Andhra Pradesh,1956,1408.600
Coastal Andhra Pradesh,1957,1017.700
Coastal Andhra Pradesh,1958,1605.400
Coastal Andhra Pradesh,1959,1120.700
Coastal Andhra Pradesh,1960,943.700
Coastal Andhra Pradesh,1961,1119.300
Coastal Andhra Pradesh,1962,1345.500
Coastal Andhra Pradesh,1963,1023.900
Coastal Andhra Pradesh,1964,1061.000
Coastal Andhra Pradesh,1965,754.300
Coastal Andhra Pradesh,1966,954.700
Coastal Andhra Pradesh,1967,843.200
Coastal Andhra Pradesh,1968,839.000
Coastal Andhra Pradesh,1969,1279.700
Coastal Andhra Pradesh,1970,1064.000
Coastal Andhra Pradesh,1971,1033.200
Coastal Andhra Pradesh,1972,1028.400
Coastal Andhra Pradesh,1973,859.000
Coastal Andhra Pradesh,1974,944.900
Coastal Andhra Pradesh,1975,1192.400
Coastal Andhra Pradesh,1976,1090.100
Coastal Andhra Pradesh,1977,1132.800
Coastal Andhra Pradesh,1978,1038.200
Coastal Andhra Pradesh,1979,934.200
Coastal Andhra Pradesh,1980,1014.800
Coastal Andhra Pradesh,1981,929.300
Coastal Andhra Pradesh,1982,888.500
Coastal Andhra Pradesh,1983,1195.900
Coastal Andhra Pradesh,1984,785.300
Coastal Andhra Pradesh,1985,967.600
Coastal Andhra Pradesh,1986,1009.900
Coastal Andhra Pradesh,1987,1079.800
Coastal Andhra Pradesh,1988,1164.900
Coastal Andhra Pradesh,1989,1030.100
Coastal Andhra Pradesh,1990,1611.300
Coastal Andhra Pradesh,1991,1122.200
Coastal Andhra Pradesh,1992,1000.900
Coastal Andhra Pradesh,1993,869.700
Coastal Andhra Pradesh,1994,1154.900
Coastal Andhra Pradesh,1995,1352.000
Coastal Andhra Pradesh,1996,1210.800
Coastal Andhra Pradesh,1997,971.900
Coastal Andhra Pradesh,1998,1310.700
Coastal Andhra Pradesh,1999,825.200
Coastal Andhra Pradesh,2000,992.300
Coastal Andhra Pradesh,2001,1009.500
Coastal Andhra Pradesh,2002,703.200
Coastal Andhra Pradesh,2003,1097.000
Coastal Andhra Pradesh,2004,873.800
Coastal Andhra Pradesh,2005,1221.600
Coastal Andhra Pradesh,2006,1159.600
Coastal Andhra Pradesh,2007,1099.400
Coastal Andhra Pradesh,2008,1107.500
Coastal Andhra Pradesh,2009,790.500
Coastal Andhra Pradesh,2010,1712.500
Coastal Andhra Pradesh,2011,861.800
Coastal Andhra Pradesh,2012,1318.300
Coastal Andhra Pradesh,2013,1120.400
Coastal Andhra Pradesh,2014,875.100
Coastal Andhra Pradesh,2015,1011.000
Coastal Andhra Pradesh,2016,909.000
Coastal Andhra Pradesh,2017,892.700
Coastal Karnataka,1901,3056.800
Coastal Karnataka,1902,3699.200
Coastal Karnataka,1903,3317.400
Coastal Karnataka,1904,3141.100
Coastal Karnataka,1905,2652.400
Coastal Karnataka,1906,2836.000
Coastal Karnataka,1907,3535.200
Coastal Karnataka,1908,3655.500
Coastal Karnataka,1909,3173.000
Coastal Karnataka,1910,3020.800
Coastal Karnataka,1911,2522.300
Coastal Karnataka,1912,3396.100
Coastal Karnataka,1913,2836.200
Coastal Karnataka,1914,3872.800
Coastal Karnataka,1915,2648.900
Coastal Karnataka,1916,3467.800
Coastal Karnataka,1917,3424.000
Coastal Karnataka,1918,2510.900
Coastal Karnataka,1919,2918.100
Coastal Karnataka,1920,2789.200
Coastal Karnataka,1921,3007.400
Coastal Karnataka,1922,3332.600
Coastal Karnataka,1923,3681.100
Coastal Karnataka,1924,3528.800
Coastal Karnataka,1925,3581.400
Coastal Karnataka,1926,2956.400
Coastal Karnataka,1927,3216.300
Coastal Karnataka,1928,3339.600
Coastal Karnataka,1929,3663.400
Coastal Karnataka,1930,2912.800
Coastal Karnataka,1931,3842.500
Coastal Karnataka,1932,3423.400
Coastal Karnataka,1933,4139.400
Coastal Karnataka,1934,3011.800
Coastal Karnataka,1935,2886.100
Coastal Karnataka,1936,3324.800
Coastal Karnataka,1937,3314.200
Coastal Karnataka,1938,3150.900
Coastal Karnataka,1939,2744.200
Coastal Karnataka,1940,3724.000
Coastal Karnataka,1941,2515.100
Coastal Karnataka,1942,3502.800
Coastal Karnataka,1943,3577.100
Coastal Karnataka,1944,2984.600
Coastal Karnataka,1945,3079.400
Coastal Karnataka,1946,4041.400
Coastal Karnataka,1947,3338.300
Coastal Karnataka,1948,3626.600
Coastal Karnataka,1949,3362.500
Coastal Karnataka,1950,3766.100
Coastal Karnataka,1951,3124.300
Coastal Karnataka,1952,2896.600
Coastal Karnataka,1953,3463.300
Coastal Karnataka,1954,3821.600
Coastal Karnataka,1955,3552.500
Coastal Karnataka,1956,3856.400
Coastal Karnataka,1957,3174.800
Coastal Karnataka,1958,3687.500
Coastal Karnataka,1959,4330.900
Coastal Karnataka,1960,3504.300
Coastal Karnataka,1961,5553.900
Coastal Karnataka,1962,4017.600
Coastal Karnataka,1963,3171.500
Coastal Karnataka,1964,3140.400
Coastal Karnataka,1965,2831.200
Coastal Karnataka,1966,2976.700
Coastal Karnataka,1967,3181.700
Coastal Karnataka,1968,3461.100
Coastal Karnataka,1969,3342.900
Coastal Karnataka,1970,4041.900
Coastal Karnataka,1971,3235.400
Coastal Karnataka,1972,2857.000
Coastal Karnataka,1973,3126.000
Coastal Karnataka,1974,3433.500
Coastal Karnataka,1975,4300.000
Coastal Karnataka,1976,2934.000
